Emission Factor Title,Sector,Unit Type,Emission Factor,Source
HGV refrigerated (all diesel) - Rigid (>3.5 - 7.5 tonnes) - 0% Laden - Managed assets (vehicles),Transport,kg/km,0.5403,BEIS
HGV refrigerated (all diesel) - Rigid (>3.5 - 7.5 tonnes) - 100% Laden - Managed assets (vehicles),Transport,kg/km,0.6334,BEIS
HGV refrigerated (all diesel) - Rigid (>3.5 - 7.5 tonnes) - 50% Laden - Managed assets (vehicles),Transport,kg/km,0.5868,BEIS
HGV refrigerated (all diesel) - Rigid (>3.5 - 7.5 tonnes) - Average Laden - Managed assets (vehicles),Transport,kg/km,0.5803,BEIS
HGV refrigerated (all diesel) - Rigid (>7.5 tonnes-17 tonnes) - 0% Laden - Managed assets (vehicles),Transport,kg/km,0.648,BEIS
HGV refrigerated (all diesel) - Rigid (>7.5 tonnes-17 tonnes) - 100% Laden - Managed assets (vehicles),Transport,kg/km,0.8313,BEIS
HGV refrigerated (all diesel) - Rigid (>7.5 tonnes-17 tonnes) - 50% Laden - Managed assets (vehicles),Transport,kg/km,0.7397,BEIS
HGV refrigerated (all diesel) - Rigid (>7.5 tonnes-17 tonnes) - Average Laden - Managed assets (vehicles),Transport,kg/km,0.7085,BEIS
HGV (all diesel) - Rigid (>17 tonnes) - 0% Laden - Managed assets (vehicles),Transport,kg/km,0.7499,BEIS
HGV (all diesel) - Rigid (>17 tonnes) - 100% Laden - Managed assets (vehicles),Transport,kg/km,1.074,BEIS
HGV (all diesel) - Rigid (>17 tonnes) - 50% Laden - Managed assets (vehicles),Transport,kg/km,0.9121,BEIS
HGV (all diesel) - Rigid (>17 tonnes) - Average Laden - Managed assets (vehicles),Transport,kg/km,0.977,BEIS
HGV (all diesel) - Rigid (>3.5 - 7.5 tonnes) - 0% Laden - Managed assets (vehicles),Transport,kg/km,0.4538,BEIS
HGV (all diesel) - Rigid (>3.5 - 7.5 tonnes) - 100% Laden - Managed assets (vehicles),Transport,kg/km,0.5318,BEIS
HGV (all diesel) - Rigid (>3.5 - 7.5 tonnes) - 50% Laden - Managed assets (vehicles),Transport,kg/km,0.4928,BEIS
HGV (all diesel) - Rigid (>3.5 - 7.5 tonnes) - Average Laden - Managed assets (vehicles),Transport,kg/km,0.4873,BEIS
HGV (all diesel) - Rigid (>7.5 tonnes-17 tonnes) - 0% Laden - Managed assets (vehicles),Transport,kg/km,0.5443,BEIS
HGV (all diesel) - Rigid (>7.5 tonnes-17 tonnes) - 100% Laden - Managed assets (vehicles),Transport,kg/km,0.6979,BEIS
HGV (all diesel) - Rigid (>7.5 tonnes-17 tonnes) - 50% Laden - Managed assets (vehicles),Transport,kg/km,0.6211,BEIS
HGV (all diesel) - Rigid (>7.5 tonnes-17 tonnes) - Average Laden - Managed assets (vehicles),Transport,kg/km,0.595,BEIS
Battery EV van (average up to 3.5 tonnes) - Managed assets (vehicles),Transport,kg/km,0.07922,BEIS
CNG van - Average (up to 3.5 tonnes) - Managed assets (vehicles),Transport,kg/km,0.2512,BEIS
Diesel van - Average (up to 3.5 tonnes) - Managed assets (vehicles),Transport,kg/km,0.2502,BEIS
LPG van - Average (up to 3.5 tonnes) - Managed assets (vehicles),Transport,kg/km,0.2762,BEIS
Average van - (up to 3.5 tonnes) - Managed assets (vehicles),Transport,kg/km,0.2493,BEIS
Petrol van - Average (up to 3.5 tonnes) - Managed assets (vehicles),Transport,kg/km,0.221,BEIS
Other manufactured goods,Materials and Manufacturing,kg/gbp,0.4483,BEIS
Aluminium cans and foil (excl. forming - Closed-loop source),Materials and Manufacturing,kg/tonne,0.9905,BEIS
Aluminium cans and foil (excl. forming - Primary material production),Materials and Manufacturing,kg/tonne,9.107,BEIS
Fabricated metal products/excl. machinery and equipment and weapons/ammunition,Materials and Manufacturing,kg/gbp,0.4181,BEIS
Mixed cans (closed-loop recycled source),Materials and Manufacturing,kg/tonne,1.462,BEIS
Mixed cans (Primary material production),Materials and Manufacturing,kg/tonne,5.106,BEIS
Steel cans (closed-loop recycled source),Materials and Manufacturing,kg/tonne,1.727,BEIS
Steel cans (Primary material production),Materials and Manufacturing,kg/tonne,2.855,BEIS
Weapons and ammunition,Materials and Manufacturing,kg/gbp,0.3406,BEIS
Basic iron and steel,Materials and Manufacturing,kg/gbp,1.302,BEIS
Metals (closed-loop recycled source),Materials and Manufacturing,kg/tonne,1.631,BEIS
Other basic metals and casting,Materials and Manufacturing,kg/gbp,0.07979,BEIS
Metals (Primary material production),Materials and Manufacturing,kg/tonne,3.816,BEIS
Scrap metal (closed-loop recycled source),Materials and Manufacturing,kg/tonne,1.62,BEIS
Scrap metal (Primary material production),Materials and Manufacturing,kg/tonne,3.465,BEIS
Mineral oil (closed-loop recycled source),Materials and Manufacturing,kg/tonne,0.676,BEIS
Mineral oil (Primary material production),Materials and Manufacturing,kg/tonne,1.401,BEIS
Mining support services,Materials and Manufacturing,kg/gbp,1.384,BEIS
Other mining and quarrying products,Materials and Manufacturing,kg/gbp,0.5497,BEIS
Compost derived from food and garden waste (Primary material production),Materials and Manufacturing,kg/tonne,0.1148,BEIS
Compost derived from garden waste (Primary material production),Materials and Manufacturing,kg/tonne,0.112,BEIS
Soils (closed-loop recycled source),Materials and Manufacturing,kg/tonne,0.0009848,BEIS
Public administration and defence services/compulsory social security services,Organizational Activities,kg/gbp,0.1815,BEIS
Services furnished by membership organisations,Organizational Activities,kg/gbp,0.1564,BEIS
Board (closed-loop recycled source),Materials and Manufacturing,kg/tonne,1.092,BEIS
Board (Primary material production),Materials and Manufacturing,kg/tonne,1.194,BEIS
Mixed paper and board (closed-loop recycled source),Materials and Manufacturing,kg/tonne,1.063,BEIS
Mixed paper and board (Primary material production),Materials and Manufacturing,kg/tonne,1.283,BEIS
Paper (closed-loop recycled source),Materials and Manufacturing,kg/tonne,1.044,BEIS
Paper (Primary material production),Materials and Manufacturing,kg/tonne,1.339,BEIS
Printing and recording services,Consumer Goods and Services,kg/gbp,0.3152,BEIS
Ferry (passenger with car),Transport,kg/passenger-km,0.1293,BEIS
Ferry (foot passenger),Transport,kg/passenger-km,0.01871,BEIS
Ferry (average per passenger),Transport,kg/passenger-km,0.284,BEIS
Domestic flight - without RF effect,Transport,kg/passenger-km,0.161,BEIS
Domestic flight - with RF effect,Transport,kg/passenger-km,0.2726,BEIS
International long-haul flight business - without RF effect,Transport,kg/passenger-km,0.3425,BEIS
International long-haul flight business - with RF effect,Transport,kg/passenger-km,0.5803,BEIS
International long-haul flight economy - without RF effect,Transport,kg/passenger-km,0.1181,BEIS
International long-haul flight economy - with RF effect,Transport,kg/passenger-km,0.2001,BEIS
International long-haul flight first class - without RF effect,Transport,kg/passenger-km,0.4725,BEIS
International long-haul flight first class - with RF effect,Transport,kg/passenger-km,0.8004,BEIS
International long-haul flight - without RF effect,Transport,kg/passenger-km,0.1542,BEIS
International long-haul flight - with RF effect,Transport,kg/passenger-km,0.2613,BEIS
International long-haul flight premium economy - without RF effect,Transport,kg/passenger-km,0.189,BEIS
International long-haul flight premium economy - with RF effect,Transport,kg/passenger-km,0.3201,BEIS
International short-haul flight business - without RF effect,Transport,kg/passenger-km,0.1619,BEIS
International short-haul flight business - with RF effect,Transport,kg/passenger-km,0.2743,BEIS
International short-haul flight economy - without RF effect,Transport,kg/passenger-km,0.1079,BEIS
International short-haul flight economy - with RF effect,Transport,kg/passenger-km,0.1829,BEIS
International short-haul flight - without RF effect,Transport,kg/passenger-km,0.1097,BEIS
International short-haul flight - with RF effect,Transport,kg/passenger-km,0.1859,BEIS
Flight outside UK business class - without RF effect,Transport,kg/passenger-km,0.2305,BEIS
Flight outside UK business class - with RF effect,Transport,kg/passenger-km,0.3904,BEIS
Flight outside UK economy class - without RF effect,Transport,kg/passenger-km,0.07948,BEIS
Flight outside UK economy class - with RF effect,Transport,kg/passenger-km,0.1347,BEIS
Flight outside UK first class - without RF effect,Transport,kg/passenger-km,0.3179,BEIS
Flight outside UK first class - with RF effect,Transport,kg/passenger-km,0.5385,BEIS
Flight outside UK - without RF effect,Transport,kg/passenger-km,0.1038,BEIS
Flight outside UK - with RF effect,Transport,kg/passenger-km,0.1758,BEIS
Flight outside UK premium economy class - without RF effect,Transport,kg/passenger-km,0.1272,BEIS
Flight outside UK premium economy class - with RF effect,Transport,kg/passenger-km,0.2154,BEIS
International rail passenger train,Transport,kg/passenger-km,0.00446,BEIS
Light rail and tram passenger train,Transport,kg/passenger-km,0.0286,BEIS
National rail passenger train,Transport,kg/passenger-km,0.03546,BEIS
Underground passenger train,Transport,kg/passenger-km,0.0278,BEIS
Black cab,Transport,kg/passenger-km,0.204,BEIS
Black cab - Passenger vehicles & travel land,Transport,kg/km,0.07634,BEIS
Black cab - Business travel,Transport,kg/km,0.306,BEIS
Battery EV car (average) - Business travel,Transport,kg/km,0.04745,BEIS
CNG car (average) - Business travel,Transport,kg/km,0.1751,BEIS
Diesel car (average) - Business travel,Transport,kg/km,0.1698,BEIS
Hybrid car (average) - Business travel,Transport,kg/km,0.1261,BEIS
LPG car (average) - Business travel,Transport,kg/km,0.1972,BEIS
Car (average) - Business travel,Transport,kg/km,0.1669,BEIS
Petrol car (average) - Business travel,Transport,kg/km,0.1645,BEIS
PHEV car (average) - Business travel,Transport,kg/km,0.1085,BEIS
Battery EV car (dual-purpose 4X4) - Business travel,Transport,kg/km,0.05012,BEIS
Diesel car (dual-purpose 4X4) - Business travel,Transport,kg/km,0.1976,BEIS
Car (dual-purpose 4X4) - Business travel,Transport,kg/km,0.1972,BEIS
Petrol car (dual-purpose 4X4) - Business travel,Transport,kg/km,0.1963,BEIS
PHEV car (dual-purpose 4X4) - Business travel,Transport,kg/km,0.1224,BEIS
Battery EV car (executive) - Business travel,Transport,kg/km,0.04271,BEIS
Diesel car (executive) - Business travel,Transport,kg/km,0.17,BEIS
Car (executive) - Business travel,Transport,kg/km,0.1793,BEIS
Petrol car (executive) - Business travel,Transport,kg/km,0.2082,BEIS
PHEV car (executive) - Business travel,Transport,kg/km,0.09616,BEIS
Battery EV car (large) - Business travel,Transport,kg/km,0.04925,BEIS
CNG car (large) - Business travel,Transport,kg/km,0.237,BEIS
Diesel car (large) - Business travel,Transport,kg/km,0.2073,BEIS
Hybrid car (large) - Business travel,Transport,kg/km,0.1549,BEIS
LPG car (large) - Business travel,Transport,kg/km,0.2676,BEIS
Car (large) - Business travel,Transport,kg/km,0.2247,BEIS
Petrol car (large) - Business travel,Transport,kg/km,0.2688,BEIS
PHEV car (large) - Business travel,Transport,kg/km,0.1192,BEIS
Motorbike (large) - Business travel,Transport,kg/km,0.1325,BEIS
Battery EV car (lower medium) - Business travel,Transport,kg/km,0.04615,BEIS
Diesel car (lower medium) - Business travel,Transport,kg/km,0.1429,BEIS
Car (lower medium) - Business travel,Transport,kg/km,0.155,BEIS
Petrol car (lower medium) - Business travel,Transport,kg/km,0.1639,BEIS
PHEV car (lower medium) - Business travel,Transport,kg/km,0.08914,BEIS
Battery EV car (luxury) - Business travel,Transport,kg/km,0.05749,BEIS
Diesel car (luxury) - Business travel,Transport,kg/km,0.2069,BEIS
Car (luxury) - Business travel,Transport,kg/km,0.2582,BEIS
Petrol car (luxury) - Business travel,Transport,kg/km,0.3195,BEIS
PHEV car (luxury) - Business travel,Transport,kg/km,0.1324,BEIS
Battery EV car (medium) - Business travel,Transport,kg/km,0.04625,BEIS
CNG car (medium) - Business travel,Transport,kg/km,0.1568,BEIS
Diesel car (medium) - Business travel,Transport,kg/km,0.1681,BEIS
Hybrid car (medium) - Business travel,Transport,kg/km,0.1149,BEIS
LPG car (medium) - Business travel,Transport,kg/km,0.1763,BEIS
Car (medium) - Business travel,Transport,kg/km,0.1726,BEIS
Petrol car (medium) - Business travel,Transport,kg/km,0.1773,BEIS
PHEV car (medium) - Business travel,Transport,kg/km,0.09312,BEIS
Motorbike (medium) - Business travel,Transport,kg/km,0.1011,BEIS
Battery EV car (mini) - Business travel,Transport,kg/km,0.0385,BEIS
Diesel car (mini) - Business travel,Transport,kg/km,0.1076,BEIS
Car (mini) - Business travel,Transport,kg/km,0.1307,BEIS
Petrol car (mini) - Business travel,Transport,kg/km,0.1309,BEIS
Motorbike (average) - Business travel,Transport,kg/km,0.1137,BEIS
Battery EV car (MPV) - Business travel,Transport,kg/km,0.06576,BEIS
Diesel car (MPV) - Business travel,Transport,kg/km,0.1775,BEIS
Car (MPV) - Business travel,Transport,kg/km,0.1789,BEIS
Petrol car (MPV) - Business travel,Transport,kg/km,0.1829,BEIS
PHEV car (MPV) - Business travel,Transport,kg/km,0.1018,BEIS
Battery EV car (small) - Business travel,Transport,kg/km,0.04284,BEIS
Diesel car (small) - Business travel,Transport,kg/km,0.1399,BEIS
Hybrid car (small) - Business travel,Transport,kg/km,0.1127,BEIS
Car (small) - Business travel,Transport,kg/km,0.1426,BEIS
Petrol car (small) - Business travel,Transport,kg/km,0.1437,BEIS
PHEV car (small) - Business travel,Transport,kg/km,0.06078,BEIS
Motorbike (small) - Business travel,Transport,kg/km,0.08319,BEIS
Battery EV car (sports) - Business travel,Transport,kg/km,0.07353,BEIS
Diesel car (sports) - Business travel,Transport,kg/km,0.1702,BEIS
Car (sports) - Business travel,Transport,kg/km,0.2252,BEIS
Petrol car (sports) - Business travel,Transport,kg/km,0.2353,BEIS
PHEV car (sports) - Business travel,Transport,kg/km,0.1312,BEIS
Battery EV car (supermini) - Business travel,Transport,kg/km,0.0439,BEIS
Diesel car (supermini) - Business travel,Transport,kg/km,0.1318,BEIS
Car (supermini) - Business travel,Transport,kg/km,0.1426,BEIS
Petrol car (supermini) - Business travel,Transport,kg/km,0.1439,BEIS
PHEV car (supermini) - Business travel,Transport,kg/km,0.06078,BEIS
Taxi (average) - Business travel,Transport,kg/km,0.208,BEIS
Battery EV car (upper medium) - Business travel,Transport,kg/km,0.04707,BEIS
Diesel car (upper medium) - Business travel,Transport,kg/km,0.1605,BEIS
Car (upper medium) - Business travel,Transport,kg/km,0.1676,BEIS
Petrol car (upper medium) - Business travel,Transport,kg/km,0.1895,BEIS
PHEV car (upper medium) - Business travel,Transport,kg/km,0.09706,BEIS
Battery EV car (average) - Passenger vehicles,Transport,kg/km,0.04358,BEIS
Battery EV car (average) - Passenger vehicles & travel land,Transport,kg/km,0.04358,BEIS
Battery EV car (average) - UK electricity T&D for EVs,Transport,kg/km,0.04358,BEIS
Battery EV car (average) - UK electricity for EVs,Transport,kg/km,0.04358,BEIS
CNG car (average) - Passenger vehicles,Transport,kg/km,0.1751,BEIS
CNG car (average) - Passenger vehicles & travel land,Transport,kg/km,0.1751,BEIS
Diesel car (average) - Passenger vehicles,Transport,kg/km,0.1698,BEIS
Diesel car (average) - Passenger vehicles & travel land,Transport,kg/km,0.1698,BEIS
Hybrid car (average) - Passenger vehicles,Transport,kg/km,0.1261,BEIS
Hybrid car (average) - Passenger vehicles & travel land,Transport,kg/km,0.1261,BEIS
LPG car (average) - Passenger vehicles,Transport,kg/km,0.1972,BEIS
LPG car (average) - Passenger vehicles & travel land,Transport,kg/km,0.1972,BEIS
Car (average) - Passenger vehicles,Transport,kg/km,0.1914,BEIS
Car (average) - Passenger vehicles & travel land,Transport,kg/km,0.1914,BEIS
Petrol car (average) - Passenger vehicles,Transport,kg/km,0.1645,BEIS
Petrol car (average) - Passenger vehicles & travel land,Transport,kg/km,0.1645,BEIS
PHEV car (average) - Passenger vehicles,Transport,kg/km,0.0936,BEIS
PHEV car (average) - Passenger vehicles & travel land,Transport,kg/km,0.0936,BEIS
PHEV car (average) - UK electricity T&D for EVs,Transport,kg/km,0.0936,BEIS
PHEV car (average) - UK electricity for EVs,Transport,kg/km,0.0936,BEIS
Battery EV van (class 1) - UK electricity T&D for EVs,Transport,kg/km,0.03909,BEIS
Battery EV van (class 1) - UK electricity for EVs,Transport,kg/km,0.03909,BEIS
Battery EV van (class 2) - UK electricity T&D for EVs,Transport,kg/km,0.06024,BEIS
Battery EV van (class 2) - UK electricity for EVs,Transport,kg/km,0.06024,BEIS
Battery EV van (class 3) - UK electricity T&D for EVs,Transport,kg/km,0.08203,BEIS
Battery EV van (class 3) - UK electricity for EVs,Transport,kg/km,0.08203,BEIS
Coach,Transport,kg/passenger-km,0.02717,BEIS
Battery EV car (dual-purpose 4X4) - Passenger vehicles,Transport,kg/km,0.04605,BEIS
Battery EV car (dual-purpose 4X4) - Passenger vehicles & travel land,Transport,kg/km,0.04605,BEIS
Battery EV car (dual-purpose 4X4) - UK electricity T&D for EVs,Transport,kg/km,0.04605,BEIS
Battery EV car (dual-purpose 4X4) - UK electricity for EVs,Transport,kg/km,0.04605,BEIS
Diesel car (dual-purpose 4X4) - Passenger vehicles,Transport,kg/km,0.1976,BEIS
Diesel car (dual-purpose 4X4) - Passenger vehicles & travel land,Transport,kg/km,0.1976,BEIS
Car (dual-purpose 4X4) - Passenger vehicles,Transport,kg/km,0.1972,BEIS
Car (dual-purpose 4X4) - Passenger vehicles & travel land,Transport,kg/km,0.1972,BEIS
Petrol car (dual-purpose 4X4) - Passenger vehicles,Transport,kg/km,0.1963,BEIS
Petrol car (dual-purpose 4X4) - Passenger vehicles & travel land,Transport,kg/km,0.1963,BEIS
PHEV car (dual-purpose 4X4) - Passenger vehicles  - UK electricity for EVs,Transport,kg/km,0.03308,BEIS
PHEV car (dual-purpose 4X4) - Passenger vehicles & travel land,Transport,kg/km,0.03308,BEIS
PHEV car (dual-purpose 4X4) - UK electricity T&D for EVs,Transport,kg/km,0.03308,BEIS
PHEV car (dual-purpose 4X4) - Passenger vehicles - UK electricity for EVs,Transport,kg/km,0.03308,BEIS
PHEV car (dual-purpose 4X4) - Passenger vehicles,Transport,kg/km,0.1053,BEIS
Battery EV car (executive) - Passenger vehicles,Transport,kg/km,0.03925,BEIS
Battery EV car (executive) - Passenger vehicles & travel land,Transport,kg/km,0.03925,BEIS
Battery EV car (executive) - UK electricity T&D for EVs,Transport,kg/km,0.03925,BEIS
Battery EV car (executive) - UK electricity for EVs,Transport,kg/km,0.03925,BEIS
Diesel car (executive) - Passenger vehicles,Transport,kg/km,0.17,BEIS
Diesel car (executive) - Passenger vehicles & travel land,Transport,kg/km,0.17,BEIS
Car (executive) - Passenger vehicles,Transport,kg/km,0.1793,BEIS
Car (executive) - Passenger vehicles & travel land,Transport,kg/km,0.1793,BEIS
Petrol car (executive) - Passenger vehicles,Transport,kg/km,0.2082,BEIS
Petrol car (executive) - Passenger vehicles & travel land,Transport,kg/km,0.2082,BEIS
PHEV car (executive) - Passenger vehicles  - UK electricity for EVs,Transport,kg/km,0.02588,BEIS
PHEV car (executive) - Passenger vehicles & travel land,Transport,kg/km,0.02588,BEIS
PHEV car (executive) - UK electricity T&D for EVs,Transport,kg/km,0.02588,BEIS
PHEV car (executive) - Passenger vehicles - UK electricity for EVs,Transport,kg/km,0.02588,BEIS
PHEV car (executive) - Passenger vehicles,Transport,kg/km,0.08599,BEIS
Battery EV car (large) - Passenger vehicles,Transport,kg/km,0.04525,BEIS
Battery EV car (large) - Passenger vehicles & travel land,Transport,kg/km,0.04525,BEIS
Battery EV car (large) - UK electricity T&D for EVs,Transport,kg/km,0.04525,BEIS
Battery EV car (large) - UK electricity for EVs,Transport,kg/km,0.04525,BEIS
CNG car (large) - Passenger vehicles,Transport,kg/km,0.237,BEIS
CNG car (large) - Passenger vehicles & travel land,Transport,kg/km,0.237,BEIS
Diesel car (large) - Passenger vehicles,Transport,kg/km,0.2073,BEIS
Diesel car (large) - Passenger vehicles & travel land,Transport,kg/km,0.2073,BEIS
Hybrid car (large) - Passenger vehicles,Transport,kg/km,0.1549,BEIS
Hybrid car (large) - Passenger vehicles & travel land,Transport,kg/km,0.1549,BEIS
LPG car (large) - Passenger vehicles,Transport,kg/km,0.2676,BEIS
LPG car (large) - Passenger vehicles & travel land,Transport,kg/km,0.2676,BEIS
Car (large) - Passenger vehicles,Transport,kg/km,0.2247,BEIS
Car (large) - Passenger vehicles & travel land,Transport,kg/km,0.2247,BEIS
Petrol car (large) - Passenger vehicles,Transport,kg/km,0.2688,BEIS
Petrol car (large) - Passenger vehicles & travel land,Transport,kg/km,0.2688,BEIS
PHEV car (large) - Passenger vehicles  - UK electricity for EVs,Transport,kg/km,0.03221,BEIS
PHEV car (large) - Passenger vehicles & travel land,Transport,kg/km,0.03221,BEIS
PHEV car (large) - UK electricity T&D for EVs,Transport,kg/km,0.03221,BEIS
PHEV car (large) - Passenger vehicles - UK electricity for EVs,Transport,kg/km,0.03221,BEIS
PHEV car (large) - Passenger vehicles,Transport,kg/km,0.1031,BEIS
Motorbike (large) - Passenger vehicles & travel land,Transport,kg/km,0.03469,BEIS
Motorbike (large) Passenger vehicles,Transport,kg/km,0.1325,BEIS
Average local bus,Transport,kg/passenger-km,0.1085,BEIS
Local London Bus,Transport,kg/passenger-km,0.1085,BEIS
Local Bus (not London),Transport,kg/passenger-km,0.13,BEIS
Battery EV car (lower medium) - Passenger vehicles,Transport,kg/km,0.04241,BEIS
Battery EV car (lower medium) - Passenger vehicles & travel land,Transport,kg/km,0.04241,BEIS
Battery EV car (lower medium) - UK electricity T&D for EVs,Transport,kg/km,0.04241,BEIS
Battery EV car (lower medium) - UK electricity for EVs,Transport,kg/km,0.04241,BEIS
Diesel car (lower medium) - Passenger vehicles,Transport,kg/km,0.1429,BEIS
Diesel car (lower medium) - Passenger vehicles & travel land,Transport,kg/km,0.1429,BEIS
Car (lower medium) - Passenger vehicles,Transport,kg/km,0.155,BEIS
Car (lower medium) - Passenger vehicles & travel land,Transport,kg/km,0.155,BEIS
Petrol car (lower medium) - Passenger vehicles,Transport,kg/km,0.1639,BEIS
Petrol car (lower medium) - Passenger vehicles & travel land,Transport,kg/km,0.1639,BEIS
PHEV car (lower medium) - Passenger vehicles  - UK electricity for EVs,Transport,kg/km,0.0242,BEIS
PHEV car (lower medium) - Passenger vehicles & travel land,Transport,kg/km,0.0242,BEIS
PHEV car (lower medium) - UK electricity T&D for EVs,Transport,kg/km,0.0242,BEIS
PHEV car (lower medium) - Passenger vehicles - UK electricity for EVs,Transport,kg/km,0.0242,BEIS
PHEV car (lower medium) - Passenger vehicles,Transport,kg/km,0.07763,BEIS
Battery EV car (luxury) - Passenger vehicles,Transport,kg/km,0.05282,BEIS
Battery EV car (luxury) - UK electricity T&D for EVs,Transport,kg/km,0.05282,BEIS
Battery EV car (luxury) - Passenger vehicles - UK electricity for EVs,Transport,kg/km,0.05282,BEIS
Diesel car (luxury) - Passenger vehicles,Transport,kg/km,0.2069,BEIS
Diesel car (luxury) - Passenger vehicles & travel land,Transport,kg/km,0.2069,BEIS
Car (luxury) - Passenger vehicles,Transport,kg/km,0.2582,BEIS
Car (luxury) - Passenger vehicles & travel land,Transport,kg/km,0.2582,BEIS
Petrol car (luxury) - Passenger vehicles,Transport,kg/km,0.3195,BEIS
Petrol car (luxury) - Passenger vehicles & travel land,Transport,kg/km,0.3195,BEIS
PHEV car (luxury) - Passenger vehicles  - UK electricity for EVs,Transport,kg/km,0.03629,BEIS
PHEV car (luxury) - Passenger vehicles & travel land,Transport,kg/km,0.03629,BEIS
PHEV car (luxury) - UK electricity T&D for EVs,Transport,kg/km,0.03629,BEIS
PHEV car (luxury) - Passenger vehicles - UK electricity for EVs,Transport,kg/km,0.03629,BEIS
PHEV car (luxury) - Passenger vehicles,Transport,kg/km,0.1208,BEIS
Battery EV car (medium) - Passenger vehicles,Transport,kg/km,0.04249,BEIS
Battery EV car (medium) - Passenger vehicles & travel land,Transport,kg/km,0.04249,BEIS
Battery EV car (medium) - UK electricity T&D for EVs,Transport,kg/km,0.04249,BEIS
Battery EV car (medium) - UK electricity for EVs,Transport,kg/km,0.04249,BEIS
CNG car (medium) - Passenger vehicles,Transport,kg/km,0.1568,BEIS
CNG car (medium) - Passenger vehicles & travel land,Transport,kg/km,0.1568,BEIS
Diesel car (medium) - Passenger vehicles,Transport,kg/km,0.1681,BEIS
Diesel car (medium) - Passenger vehicles & travel land,Transport,kg/km,0.1681,BEIS
Hybrid car (medium) - Passenger vehicles,Transport,kg/km,0.1149,BEIS
Hybrid car (medium) - Passenger vehicles & travel land,Transport,kg/km,0.1149,BEIS
LPG car (medium) - Passenger vehicles,Transport,kg/km,0.1763,BEIS
LPG car (medium) - Passenger vehicles & travel land,Transport,kg/km,0.1763,BEIS
Car (medium) - Passenger vehicles,Transport,kg/km,0.1726,BEIS
Car (medium) - Passenger vehicles & travel land,Transport,kg/km,0.1726,BEIS
Petrol car (medium) - Passenger vehicles,Transport,kg/km,0.1773,BEIS
Petrol car (medium) - Passenger vehicles & travel land,Transport,kg/km,0.1773,BEIS
PHEV car (medium) - Passenger vehicles  - UK electricity for EVs,Transport,kg/km,0.02524,BEIS
PHEV car (medium) - Passenger vehicles & travel land,Transport,kg/km,0.02524,BEIS
PHEV car (medium) - UK electricity T&D for EVs,Transport,kg/km,0.02524,BEIS
PHEV car (medium) - Passenger vehicles - UK electricity for EVs,Transport,kg/km,0.02524,BEIS
PHEV car (medium) - Passenger vehicles,Transport,kg/km,0.0812,BEIS
Motorbike (medium) - Passenger vehicles & travel land,Transport,kg/km,0.02608,BEIS
Motorbike (medium) Passenger vehicles,Transport,kg/km,0.1011,BEIS
Battery EV car (mini) - Passenger vehicles,Transport,kg/km,0.03537,BEIS
Battery EV car (mini) - Passenger vehicles & travel land,Transport,kg/km,0.03537,BEIS
Battery EV car (mini) - UK electricity T&D for EVs,Transport,kg/km,0.03537,BEIS
Battery EV car (mini) - UK electricity for EVs,Transport,kg/km,0.03537,BEIS
Diesel car (mini) - Passenger vehicles,Transport,kg/km,0.1076,BEIS
Diesel car (mini) - Passenger vehicles & travel land,Transport,kg/km,0.1076,BEIS
Car (mini) - Passenger vehicles,Transport,kg/km,0.1307,BEIS
Car (mini) - Passenger vehicles & travel land,Transport,kg/km,0.1307,BEIS
Petrol car (mini) - Passenger vehicles,Transport,kg/km,0.1309,BEIS
Petrol car (mini) - Passenger vehicles & travel land,Transport,kg/km,0.1309,BEIS
Motorbike (average) - Passenger vehicles & travel land,Transport,kg/km,0.02956,BEIS
Motorbike (average) Passenger vehicles,Transport,kg/km,0.1137,BEIS
Battery EV car (MPV) - Passenger vehicles,Transport,kg/km,0.06042,BEIS
Battery EV car (MPV) - Passenger vehicles & travel land,Transport,kg/km,0.06042,BEIS
Battery EV car (MPV) - UK electricity T&D for EVs,Transport,kg/km,0.06042,BEIS
Battery EV car (MPV) - UK electricity for EVs,Transport,kg/km,0.06042,BEIS
Diesel car (MPV) - Passenger vehicles,Transport,kg/km,0.1775,BEIS
Diesel car (MPV) - Passenger vehicles & travel land,Transport,kg/km,0.1775,BEIS
Car (MPV) - Passenger vehicles,Transport,kg/km,0.1789,BEIS
Car (MPV) - Passenger vehicles & travel land,Transport,kg/km,0.1789,BEIS
Petrol car (MPV) - Passenger vehicles,Transport,kg/km,0.1829,BEIS
Petrol car (MPV) - Passenger vehicles & travel land,Transport,kg/km,0.1829,BEIS
PHEV car (MPV) - Passenger vehicles,Transport,kg/km,0.08018,BEIS
PHEV car (MPV) - Passenger vehicles & travel land,Transport,kg/km,0.08018,BEIS
PHEV car (MPV) - Passenger vehicles - UK electricity for EVs,Transport,kg/km,0.08018,BEIS
PHEV car (MPV) - UK electricity T&D for EVs,Transport,kg/km,0.08018,BEIS
Ships and boats,Transport,kg/gbp,0.2199,BEIS
Battery EV car (small) - Passenger vehicles,Transport,kg/km,0.03937,BEIS
Battery EV car (small) - Passenger vehicles & travel land,Transport,kg/km,0.03937,BEIS
Battery EV car (small) - UK electricity T&D for EVs,Transport,kg/km,0.03937,BEIS
Battery EV car (small) - UK electricity for EVs,Transport,kg/km,0.03937,BEIS
Diesel car (small) - Passenger vehicles,Transport,kg/km,0.1399,BEIS
